Year,Q (liters),P (yen/liter),Tax_rate (%),GDP (trillion yen),CPI,P_relative,D2008,D2020,D2009,ln_Q,ln_P,ln_GDP,ln_Tax_rate,ln_P_relative
1950,0.0,,,0.0,,,0,0,0,,,,,
1951,0.0,,,0.0,,,0,0,0,,,,,
1952,0.0,,,0.0,,,0,0,0,,,,,
1953,0.0,,,0.0,,,0,0,0,,,,,
1954,0.0,,,0.0,,,0,0,0,,,,,
1955,0.0,,,0.0,,,0,0,0,,,,,
1956,0.0,,,0.0,,,0,0,0,,,,,
1957,0.0,,,0.0,,,0,0,0,,,,,
1958,0.0,,,0.0,,,0,0,0,,,,,
1959,0.0,,,0.0,,,0,0,0,,,,,
1960,0.0,,,0.0,,,0,0,0,,,,,
1961,0.0,,,0.0,,,0,0,0,,,,,
1962,0.0,,,0.0,,,0,0,0,,,,,
1963,0.0,,,0.0,,,0,0,0,,,,,
1964,0.0,,,0.0,,,0,0,0,,,,,
1965,0.0,,,0.0,,,0,0,0,,,,,
1966,0.0,,,0.0,,,0,0,0,,,,,
1967,0.0,,,0.0,,,0,0,0,,,,,
1968,0.0,,,0.0,,,0,0,0,,,,,
1969,0.0,,,0.0,,,0,0,0,,,,,
1970,0.0,,,0.0,30.975,,0,0,0,,,,,
1971,0.0,,,0.0,32.95,,0,0,0,,,,,
1972,0.0,,,0.0,34.55,,0,0,0,,,,,
1973,0.0,,,0.0,38.55833333333333,,0,0,0,,,,,
1974,0.0,,,0.0,47.50833333333333,,0,0,0,,,,,
1975,0.0,,,0.0,53.083333333333336,,0,0,0,,,,,
1976,0.0,,,0.0,58.06666666666667,,0,0,0,,,,,
1977,0.0,,,0.0,62.8,,0,0,0,,,,,
1978,0.0,,,0.0,65.43333333333334,,0,0,0,,,,,
1979,0.0,,,0.0,67.875,,0,0,0,,,,,
1980,0.0,,,0.0,73.15,,0,0,0,,,,,
1981,0.0,,,0.0,76.75833333333333,,0,0,0,,,,,
1982,0.0,,,0.0,78.86666666666667,,0,0,0,,,,,
1983,0.0,,,0.0,80.35,,0,0,0,,,,,
1984,0.0,,,0.0,82.15833333333333,,0,0,0,,,,,
1985,0.0,,,0.0,83.83333333333334,,0,0,0,,,,,
1986,0.0,,,0.0,84.34166666666667,,0,0,0,,,,,
1987,0.0,,,0.0,84.45,,0,0,0,,,,,
1988,0.0,,,0.0,85.0,,0,0,0,,,,,
1989,0.0,,,0.0,86.95,,0,0,0,,,,,
1990,0.0,131.4,42.23,0.0,89.61666666666666,1.4537137314725728,0,0,0,,4.8782461060505105,,3.743130868945852,0.37412147628334036
1991,0.0,126.725,43.7375,0.0,92.55,1.36947473994852,0,0,0,,4.842019384358413,,3.7782058576938065,0.3144272648254572
1992,0.0,123.725,44.79,0.0,94.15,1.3141884162643749,0,0,0,,4.81806136083795,,3.8019849002192085,0.2732193011560509
1993,0.0,124.0,44.6875,0.0,95.33333333333334,1.3007664569690536,0,0,0,,4.820281565605037,,3.7996938204542263,0.26295367301602784
1994,0.0,120.9,45.8325,446.53,95.99166666666666,1.259510106499672,0,0,0,,4.794963757620747,6.101506587309177,3.8249934464550432,0.23072284099403237
1995,0.0,115.35,48.055,458.28,95.90833333333332,1.2027024268494146,0,0,0,,4.747970984619762,6.127480351025425,3.8723461882752477,0.1845710471667829
1996,0.0,107.5,51.56,472.63,96.04166666666666,1.1193750875635708,0,0,0,,4.677490847567717,6.158312841366986,3.9427461780709865,0.11277057205824838
1997,0.0,103.775,54.22,477.27,97.675,1.0627406795055685,0,0,0,,4.6422250939391025,6.168082368485258,3.9930498440705193,0.060851118051819725
1998,0.0,93.675,60.34,471.2,98.30833333333332,0.952930277052177,0,0,0,,4.539831344679751,6.155282632337377,4.099995233730915,-0.04821353954458394
1999,0.0,93.525,60.44,469.62,97.96666666666668,0.9546797340112324,0,0,0,,4.53822878023421,6.151923857044801,4.101651137404539,-0.046379351802460625
2000,0.0,101.2,55.8525,482.61,97.29166666666669,1.0401926876765346,0,0,0,,4.617098756853365,6.179208874070326,4.022714287270773,0.03940597260374205
2001,0.0,102.55,55.095,484.48,96.61666666666666,1.0613845532486104,0,0,0,,4.63035048451839,6.183076150809029,4.00905896793974,0.059574238119976315
2002,0.0,99.4,56.8325,484.69,95.75,1.0381141689549835,0,0,0,,4.599152113662528,6.18350951132016,4.040108345191364,0.037405768054639854
2003,0.0,101.55,56.165,492.13,95.5,1.0633397202650738,0,0,0,,4.620551288026394,6.198742909232609,4.028293787093532,0.06141463462948267
2004,0.0,111.125,52.99,502.88,95.49166666666667,1.163533878174439,0,0,0,,4.7106556938340685,6.220351573049258,3.9701032165046706,0.15146182080466603
2005,0.0,124.625,47.1225,511.9500000000001,95.21666666666668,1.308870772783413,0,0,0,,4.825309228282002,6.238226964020826,3.8527505939630746,0.269164759963823
2006,0.0,135.725,43.24,518.98,95.45833333333334,1.421721375589391,0,0,0,,4.910630779791514,6.251865346777899,3.7667659927710075,0.35186837377852703
2007,59827439000.0,139.6,42.11,526.6800000000001,95.5,1.4615230981841962,0,0,0,24.814730238819138,4.938781190328272,6.266593153488143,3.740285242173836,0.37947910988094685
2008,57328432000.0,156.0,33.695,520.23,96.81666666666666,1.6108289354668146,1,0,0,24.772062533065323,5.049856007249537,6.2542710214785675,3.51734945839818,0.47674891324753843
2009,58128233000.0,120.2,48.965,490.6,95.525,1.2585273955856642,0,0,1,24.78591732081249,4.789157022101107,6.195629131824389,3.891105757172758,0.22994230379942251
2010,58367886000.0,133.075,44.0825,510.72,94.81666666666666,1.4035027064923102,0,0,0,24.79003167827137,4.890912879058821,6.23582149482139,3.7860628782999415,0.33897104520576427
2011,56902522000.0,145.8,40.2375,510.84,94.55833333333334,1.5418641538019182,0,0,0,24.764605500470786,4.982235819574558,6.236056429628062,3.6947993966249264,0.4329921738556112
2012,57099192000.0,146.925,40.05,517.86,94.51666666666668,1.5544487329603562,0,0,0,24.768055802895294,4.989922252498714,6.249704935459621,3.6901286735143684,0.441120970211075
2013,55475225000.0,155.825,38.15,528.25,94.83333333333334,1.6430575971735857,0,0,0,24.739202361637872,5.048733582694914,6.2695696564961665,3.641525757730466,0.4965588945414628
2014,53550296000.0,162.875,37.29,529.81,97.45,1.6712543190647555,0,0,0,24.70388716136924,5.092983035445009,6.272518451707025,3.6187251941907292,0.513574433762617
2015,47110000000.0,137.65,44.4525,538.09,98.225,1.401364347850418,0,0,0,24.57575112965836,4.9247142315886165,6.288025832416354,3.794421203347966,0.3374462962499353
2016,52848607000.0,120.625,50.745,542.13,98.1,1.2295220222597774,0,0,0,24.690697191299396,4.79268655965915,6.295505825078182,3.9268130909007812,0.20662549407106282
2017,51903928000.0,133.425,45.835,551.22,98.57500000000002,1.3534648063783974,0,0,0,24.67266030826207,4.893539522220008,6.31213400351143,3.8250479914137387,0.3026678277972564
2018,50999119000.0,149.725,40.86,554.76,99.55,1.503932045008702,0,0,0,24.65507419501173,5.008800278150526,6.318535587788134,3.710151589389476,0.408083041666914
2019,49651370000.0,146.025,42.0625,552.54,100.01666666666664,1.459989182746652,0,0,0,24.628291820208972,4.983777839926373,6.31452582896133,3.7391566074049467,0.3784290266151621
2020,40890067000.0,136.175,45.8275,529.51,99.99166666666667,1.3617588173583806,0,1,0,24.43415300986405,4.913940823269738,6.271952050604393,3.8248843476113827,0.3087771122806072
2021,44767547000.0,154.825,40.345,543.78,99.75833333333333,1.5519226001427238,0,0,0,24.524749316543403,5.042295446824125,6.298544753294745,3.69746747130047,0.4394945494753658
2022,44781215000.0,170.47500000000002,36.525,549.0,102.25,1.667593727189122,0,0,0,24.52505458039744,5.138588658406717,6.3080984415095305,3.597996957636763,0.511381705437388
2023,44645283000.0,172.725,36.0775,555.84,105.59166666666668,1.6356192916921786,0,0,0,24.522014494791232,5.151700734374859,6.32048048305274,3.585669402328096,0.4920215043105072
2024,43826119000.0,174.975,35.585,556.43,108.48333333333332,1.6130673363731831,0,0,0,24.5034958007991,5.164643106575603,6.321541376640335,3.5719242007512344,0.4781375443183406
2025,10200713000.0,184.0,33.84,142.01,111.03333333333336,1.6571600120084056,0,0,0,23.04572345675439,5.214935757608986,4.955897477656921,3.521643534738023,0.5051053010774611
