Year,Q (liters),P (yen/liter),Tax_rate (%),GDP (trillion yen),ln_Q,ln_P,ln_GDP,ln_Tax_rate,Δln_Q,Δln_P,Δln_GDP,Δln_Tax_rate
1950Q1,,,,,,,,,,,,
1950Q2,,,,,,,,,,,,
1950Q3,,,,,,,,,,,,
1950Q4,,,,,,,,,,,,
1951Q1,,,,,,,,,,,,
1951Q2,,,,,,,,,,,,
1951Q3,,,,,,,,,,,,
1951Q4,,,,,,,,,,,,
1952Q1,,,,,,,,,,,,
1952Q2,,,,,,,,,,,,
1952Q3,,,,,,,,,,,,
1952Q4,,,,,,,,,,,,
1953Q1,,,,,,,,,,,,
1953Q2,,,,,,,,,,,,
1953Q3,,,,,,,,,,,,
1953Q4,,,,,,,,,,,,
1954Q1,,,,,,,,,,,,
1954Q2,,,,,,,,,,,,
1954Q3,,,,,,,,,,,,
1954Q4,,,,,,,,,,,,
1955Q1,,,,,,,,,,,,
1955Q2,,,,,,,,,,,,
1955Q3,,,,,,,,,,,,
1955Q4,,,,,,,,,,,,
1956Q1,,,,,,,,,,,,
1956Q2,,,,,,,,,,,,
1956Q3,,,,,,,,,,,,
1956Q4,,,,,,,,,,,,
1957Q1,,,,,,,,,,,,
1957Q2,,,,,,,,,,,,
1957Q3,,,,,,,,,,,,
1957Q4,,,,,,,,,,,,
1958Q1,,,,,,,,,,,,
1958Q2,,,,,,,,,,,,
1958Q3,,,,,,,,,,,,
1958Q4,,,,,,,,,,,,
1959Q1,,,,,,,,,,,,
1959Q2,,,,,,,,,,,,
1959Q3,,,,,,,,,,,,
1959Q4,,,,,,,,,,,,
1960Q1,,,,,,,,,,,,
1960Q2,,,,,,,,,,,,
1960Q3,,,,,,,,,,,,
1960Q4,,,,,,,,,,,,
1961Q1,,,,,,,,,,,,
1961Q2,,,,,,,,,,,,
1961Q3,,,,,,,,,,,,
1961Q4,,,,,,,,,,,,
1962Q1,,,,,,,,,,,,
1962Q2,,,,,,,,,,,,
1962Q3,,,,,,,,,,,,
1962Q4,,,,,,,,,,,,
1963Q1,,,,,,,,,,,,
1963Q2,,,,,,,,,,,,
1963Q3,,,,,,,,,,,,
1963Q4,,,,,,,,,,,,
1964Q1,,,,,,,,,,,,
1964Q2,,,,,,,,,,,,
1964Q3,,,,,,,,,,,,
1964Q4,,,,,,,,,,,,
1965Q1,,,,,,,,,,,,
1965Q2,,,,,,,,,,,,
1965Q3,,,,,,,,,,,,
1965Q4,,,,,,,,,,,,
1966Q1,,,,,,,,,,,,
1966Q2,,,,,,,,,,,,
1966Q3,,,,,,,,,,,,
1966Q4,,,,,,,,,,,,
1967Q1,,,,,,,,,,,,
1967Q2,,,,,,,,,,,,
1967Q3,,,,,,,,,,,,
1967Q4,,,,,,,,,,,,
1968Q1,,,,,,,,,,,,
1968Q2,,,,,,,,,,,,
1968Q3,,,,,,,,,,,,
1968Q4,,,,,,,,,,,,
1969Q1,,,,,,,,,,,,
1969Q2,,,,,,,,,,,,
1969Q3,,,,,,,,,,,,
1969Q4,,,,,,,,,,,,
1970Q1,,,,,,,,,,,,
1970Q2,,,,,,,,,,,,
1970Q3,,,,,,,,,,,,
1970Q4,,,,,,,,,,,,
1971Q1,,,,,,,,,,,,
1971Q2,,,,,,,,,,,,
1971Q3,,,,,,,,,,,,
1971Q4,,,,,,,,,,,,
1972Q1,,,,,,,,,,,,
1972Q2,,,,,,,,,,,,
1972Q3,,,,,,,,,,,,
1972Q4,,,,,,,,,,,,
1973Q1,,,,,,,,,,,,
1973Q2,,,,,,,,,,,,
1973Q3,,,,,,,,,,,,
1973Q4,,,,,,,,,,,,
1974Q1,,,,,,,,,,,,
1974Q2,,,,,,,,,,,,
1974Q3,,,,,,,,,,,,
1974Q4,,,,,,,,,,,,
1975Q1,,,,,,,,,,,,
1975Q2,,,,,,,,,,,,
1975Q3,,,,,,,,,,,,
1975Q4,,,,,,,,,,,,
1976Q1,,,,,,,,,,,,
1976Q2,,,,,,,,,,,,
1976Q3,,,,,,,,,,,,
1976Q4,,,,,,,,,,,,
1977Q1,,,,,,,,,,,,
1977Q2,,,,,,,,,,,,
1977Q3,,,,,,,,,,,,
1977Q4,,,,,,,,,,,,
1978Q1,,,,,,,,,,,,
1978Q2,,,,,,,,,,,,
1978Q3,,,,,,,,,,,,
1978Q4,,,,,,,,,,,,
1979Q1,,,,,,,,,,,,
1979Q2,,,,,,,,,,,,
1979Q3,,,,,,,,,,,,
1979Q4,,,,,,,,,,,,
1980Q1,,,,,,,,,,,,
1980Q2,,,,,,,,,,,,
1980Q3,,,,,,,,,,,,
1980Q4,,,,,,,,,,,,
1981Q1,,,,,,,,,,,,
1981Q2,,,,,,,,,,,,
1981Q3,,,,,,,,,,,,
1981Q4,,,,,,,,,,,,
1982Q1,,,,,,,,,,,,
1982Q2,,,,,,,,,,,,
1982Q3,,,,,,,,,,,,
1982Q4,,,,,,,,,,,,
1983Q1,,,,,,,,,,,,
1983Q2,,,,,,,,,,,,
1983Q3,,,,,,,,,,,,
1983Q4,,,,,,,,,,,,
1984Q1,,,,,,,,,,,,
1984Q2,,,,,,,,,,,,
1984Q3,,,,,,,,,,,,
1984Q4,,,,,,,,,,,,
1985Q1,,,,,,,,,,,,
1985Q2,,,,,,,,,,,,
1985Q3,,,,,,,,,,,,
1985Q4,,,,,,,,,,,,
1986Q1,,,,,,,,,,,,
1986Q2,,,,,,,,,,,,
1986Q3,,,,,,,,,,,,
1986Q4,,,,,,,,,,,,
1987Q1,,,,,,,,,,,,
1987Q2,,,,,,,,,,,,
1987Q3,,,,,,,,,,,,
1987Q4,,,,,,,,,,,,
1988Q1,,,,,,,,,,,,
1988Q2,,,,,,,,,,,,
1988Q3,,,,,,,,,,,,
1988Q4,,,,,,,,,,,,
1989Q1,,,,,,,,,,,,
1989Q2,,,,,,,,,,,,
1989Q3,,,,,,,,,,,,
1989Q4,,,,,,,,,,,,
1990Q1,,,,,,,,,,,,
1990Q2,,,,,,,,,,,,
1990Q3,,126.3,43.87,,,4.838660029356445,,3.7812307151781224,,,,
1990Q4,,136.5,40.59,,,4.916324614625014,,3.7035217308508064,,0.07766458526856912,,-0.07770898432731599
1991Q1,,130.2,42.56,,,4.869071729774468,,3.750914845033389,,-0.04725288485054602,,0.04739311418258252
1991Q2,,126.0,43.98,,,4.836281906951478,,3.783734985126615,,-0.03278982282299037,,0.03282014009322598
1991Q3,,125.0,44.33,,,4.8283137373023015,,3.7916616487569623,,-0.00796816964917646,,0.007926663630347441
1991Q4,,125.7,44.08,,,4.8338981155962015,,3.786006164844659,,0.005584378293900016,,-0.005655483912303527
1992Q1,,124.5,44.51,,,4.824305715904762,,3.795713883027763,,-0.009592399691439546,,0.00970771818310423
1992Q2,,122.4,45.27,,,4.807294370078226,,3.8126445614478675,,-0.017011345826536406,,0.016930678420104428
1992Q3,,123.0,45.05,,,4.812184355372417,,3.807772984054347,,0.00488998529419149,,-0.004871577393520621
1992Q4,,125.0,44.33,,,4.8283137373023015,,3.7916616487569623,,0.016129381929884445,,-0.01611133529738451
1993Q1,,125.0,44.33,,,4.8283137373023015,,3.7916616487569623,,0.0,,0.0
1993Q2,,124.5,44.51,,,4.824305715904762,,3.795713883027763,,-0.00400802139753953,,0.004052234270800703
1993Q3,,123.7,44.79,,,4.8178592793984425,,3.8019849002192085,,-0.006446436506319486,,0.006271017191445516
1993Q4,,122.8,45.12,,,4.810557015713042,,3.8093256071898036,,-0.007302263685400767,,0.007340706970595079
1994Q1,,122.0,45.42,109.11,,4.804021044733257,4.692356547667007,3.8159525366774125,,-0.006535970979784977,,0.006626929487608901
1994Q2,,121.3,45.68,107.77,,4.798266815950004,4.6799993266087405,3.821660565347755,,-0.00575422878325238,-0.012357221058266532,0.005708028670342369
1994Q3,,120.5,45.98,112.08,,4.791649752930709,4.719212902028752,3.8282065193350356,,-0.006617063019294989,0.03921357542001136,0.00654595398728075
1994Q4,,119.8,46.25,117.57,,4.785823685681349,4.76703390087965,3.834061463958434,,-0.005826067249360634,0.047820998850897745,0.005854944623398417
1995Q1,,118.3,46.84,110.53,,4.773223770984341,4.705286977322864,3.8467375387295166,,-0.01259991469700772,-0.061746923556786015,0.012676074771082568
1995Q2,,116.2,47.69,110.86,,4.755312844417811,4.708268143991659,3.864721732310133,,-0.017910926566529817,0.002981166668795332,0.017984193580616203
1995Q3,,114.2,48.52,115.23,,4.73795129722191,4.746930131025923,3.8819760840758493,,-0.017361547195901217,0.03866198703426438,0.017254351765716436
1995Q4,,112.7,49.17,121.66,,4.724729421045731,4.801230268892559,3.895283681423848,,-0.013221876176179315,0.0543001378666359,0.0133075973479988
1996Q1,,110.6,50.1,114.43,,4.7059200890882344,4.739963282329623,3.914021008090819,,-0.018809331957496234,-0.061266986562936054,0.018737326666971033
1996Q2,,107.1,51.74,114.54,,4.673762977453703,4.7409241069657115,3.946231176757883,,-0.03215711163453161,0.0009608246360883754,0.03221016866706394
1996Q3,,106.3,52.13,118.2,,4.666265285347902,4.772378104971998,3.9537405987800147,,-0.007497692105800979,0.031453998006286454,0.007509422022131673
1996Q4,,106.0,52.27,125.46,,4.663439094112067,4.831986982668597,3.9564225927248304,,-0.0028261912358349406,0.05960887769659884,0.0026819939448157193
1997Q1,,107.0,51.79,117.61,,4.672828834461906,4.7673740658629455,3.9471970804358,,0.00938974034983886,-0.06461291680565129,-0.009225512289030569
1997Q2,,105.3,53.65,115.59,,4.6568134191399295,4.750049447306176,3.9824814690767076,,-0.016015415321976256,-0.0173246185567697,0.03528438864090777
1997Q3,,102.6,55.06,119.18,,4.630837932736669,4.780634955318833,4.008423499714461,,-0.02597548640326064,0.030585508012657137,0.0259420306377538
1997Q4,,100.2,56.38,124.89,,4.607168188650764,4.827433349874994,4.032114485685967,,-0.02366974408590483,0.04679839455616097,0.02369098597150554
1998Q1,,97.5,57.94,115.55,,4.579852378003801,4.74970333672039,4.059407992341204,,-0.027315810646962646,-0.07773001315460437,0.02729350665523711
1998Q2,,93.3,60.55,114.28,,4.535820107853298,4.738651577362572,4.1034694699991014,,-0.04403227015050337,-0.011051759357817659,0.04406147765789736
1998Q3,,92.0,61.4,117.46,,4.5217885770490405,4.766097850094374,4.117409835153096,,-0.014031530804257564,0.02744627273180189,0.013940365153994883
1998Q4,,91.9,61.47,123.91,,4.520701029361642,4.819555495628402,4.118549250918918,,-0.0010875476873986045,0.053457645534027876,0.0011394157658219939
1999Q1,,91.6,61.67,114.85,,4.517431271680085,4.743626929135107,4.1217975890034015,,-0.0032697576815570173,-0.07592856649329427,0.0032483380844832155
1999Q2,,91.2,61.94,114.14,,4.513054897080286,4.737425765108562,4.126166174545057,,-0.004376374599798893,-0.006201164026545136,0.004368585541655534
1999Q3,,94.1,60.03,117.74,,4.544358046591334,4.768478803600115,4.094844437263752,,0.03130314951104829,0.031053038491553053,-0.031321737281305495
1999Q4,,97.2,58.12,122.89,,4.576770711466393,4.811289646296506,4.062509838702082,,0.032412664875058894,0.04281084269639024,-0.0323345985616692
2000Q1,,98.2,57.53,118.54,,4.58700621536042,4.775250456359692,4.052306550875202,,0.01023550389402672,-0.03603918993681354,-0.010203287826880292
2000Q2,,100.1,56.43,117.4,,4.6061696863211745,4.765586907393996,4.033000931981049,,0.01916347096075466,-0.009663548965695767,-0.019305618894152943
2000Q3,,101.7,55.55,120.53,,4.622027303054514,4.791898684600252,4.017283516085639,,0.01585761673333952,0.02631177720625555,-0.015717415895410092
2000Q4,,104.8,53.9,126.14,,4.6520537718869415,4.837392401235505,3.9871304779149512,,0.030026468832427433,0.04549371663525292,-0.030153038170687818
2001Q1,,104.5,54.06,121.55,,4.6491870714048655,4.800325700762133,3.9900945408483017,,-0.0028667004820759345,-0.037066700473372016,0.0029640629333504975
2001Q2,,102.9,54.9,118.63,,4.633757642840004,4.776009405673012,4.005513348515485,,-0.015429428564861958,-0.02431629508912092,0.015418807667182843
2001Q3,,102.0,55.38,120.26,,4.624972813284271,4.789656065611423,4.014218517742816,,-0.008784829555732898,0.013646659938411076,0.008705169227331666
2001Q4,,100.8,56.04,124.04,,4.613138355637268,4.820604094232248,4.0260657214688065,,-0.011834457647002417,0.03094802862082524,0.01184720372599024
2002Q1,,98.3,57.47,119.18,,4.5880240271531205,4.780634955318833,4.05126307251965,,-0.02511432848414774,-0.039969138913415136,0.025197351050843864
2002Q2,,99.8,56.6,118.3,,4.603168183317418,4.773223770984341,4.036008985209137,,0.015144156164297762,-0.007411184334491949,-0.015254087310513142
2002Q3,,99.7,56.66,121.39,,4.602165676967792,4.799008502909713,4.03706849440237,,-0.0010025063496259534,0.025784731925371673,0.0010595091932330547
2002Q4,,99.8,56.6,125.82,,4.603168183317418,4.834852314141884,4.036008985209137,,0.0010025063496259534,0.03584381123217106,-0.0010595091932330547
2003Q1,,101.1,55.88,121.04,,4.616110126026426,4.7961210694801,4.023206534388761,,0.012941942709007392,-0.03873124466178357,-0.012802450820376343
2003Q2,,103.1,54.79,119.98,,4.635699391022914,4.787325062224947,4.003507695550324,,0.01958926499648861,-0.008796007255153171,-0.019698838838436927
2003Q3,,101.3,55.77,122.91,,4.618086411254637,4.811452380226889,4.021236090401462,,-0.017612979768276915,0.024127318001942122,0.017728394851138418
2003Q4,,100.7,58.22,128.2,,4.612145799724517,4.853591544486569,4.064228938317477,,-0.005940611530120599,0.04213916425968023,0.042992847916014654
2004Q1,,100.3,58.45,124.84,,4.60816569496789,4.827032917402579,4.068171687918078,,-0.003980104756626801,-0.026558627083990594,0.003942749600600592
2004Q2,,109.2,53.69,122.56,,4.693181063310805,4.808600705992281,3.983226764434478,,0.08501536834291468,-0.01843221141029794,-0.0849449234835995
2004Q3,,115.6,50.72,125.92,,4.750135956238277,4.835646784669093,3.9263203101289705,,0.05695489292747258,0.02704607867681208,-0.05690645430550756
2004Q4,,119.4,49.1,129.56,,4.782479200958502,4.864144094303128,3.893859034800475,,0.03234324472022454,0.028497309634035517,-0.03246127532849563
2005Q1,,117.0,50.11,126.23,,4.762173934797756,4.838105639764771,3.914220588971633,,-0.02030526616074546,-0.026038454538357847,0.020361554171158147
2005Q2,,123.3,47.55,124.61,,4.814620410170298,4.8251888599547765,3.8617817889913995,,0.05244647537254199,-0.012916779809994061,-0.0524387999802336
2005Q3,,128.0,45.8,128.46,,4.852030263919617,4.855617571829646,3.824284091120139,,0.0374098537493186,0.03042871187486984,-0.03749769787126045
2005Q4,,130.2,45.03,132.65,,4.869071729774468,4.8877140805837485,3.8073289343134804,,0.017041465854851445,0.03209650875410208,-0.0169551568066586
2006Q1,,129.6,45.24,129.41,,4.864452783918174,4.862985658833579,3.81198165124792,,-0.00461894585629441,-0.024728421750169538,0.004652716934439471
2006Q2,,134.4,43.62,126.3,,4.900820428089049,4.838660029356445,3.775515760773483,,0.036367644170875124,-0.02432562947713368,-0.036465890474437046
2006Q3,,141.2,41.52,128.66,,4.950177325059141,4.857173265982854,3.7261752388576332,,0.04935689697009238,0.01851323662640869,-0.04934052191584959
2006Q4,,137.7,42.58,134.61,,4.925077405734609,4.9023817086560015,3.7513846594653333,,-0.02509991932453204,0.04520844267314761,0.02520942060770004
2007Q1,14330109000.0,130.8,44.82,132.21,23.38562868517766,4.873669439023098,4.884391567522005,3.802654468372781,,-0.051407966711511044,-0.017990141133996218,0.0512698089074477
2007Q2,14637953000.0,134.9,43.46,128.53,23.406883513299142,4.90453376321371,4.85616234012204,3.7718409748282835,0.021254828121481495,0.03086432419061147,-0.02822922739996514,-0.030813493544497472
2007Q3,15912539000.0,143.1,40.97,130.5,23.49037325173031,4.963543686562405,4.871373226762748,3.7128400915587796,0.0834897384311688,0.059009923348694926,0.015210886640708132,-0.05900088326950392
2007Q4,14946838000.0,149.6,39.19,135.44,23.427765609396044,5.007965065540377,4.90852873782488,3.66842161221154,-0.06260764233426741,0.04442137897797238,0.03715551106213155,-0.044418479347239526
2008Q1,13578781000.0,152.8,38.37,132.8,23.33177419068855,5.02912987673242,4.888844237042334,3.647275904258861,-0.09599141870749506,0.021164811192043054,-0.01968450078254591,-0.021145707952678894
2008Q2,14783719000.0,155.7,20.73,128.01,23.416792344630473,5.0479310788399525,4.852108385868018,3.0315819264476884,0.08501815394192391,0.018801202107532333,-0.0367358511743161,-0.6156939778111727
2008Q3,14320246000.0,178.8,32.79,129.21,23.384940177102308,5.186267862739414,4.861438987734129,3.4901235908565567,-0.03185216752816444,0.13833678389946158,0.00933060186611101,0.45854166440886823
2008Q4,14645686000.0,136.7,42.89,130.21,23.40741165805463,4.917788743729904,4.869148531740637,3.758638698528789,0.022471480952322764,-0.26847911900950994,0.007709544006508473,0.2685151076722323
2009Q1,13723176000.0,109.1,53.74,120.83,23.342351919335663,4.692264892839025,4.794384599039216,3.984157603187345,-0.06505973871896842,-0.22552385089087945,-0.0747639327014209,0.22551890465855617
