Year,Quarter,YearQuarter,Gasoline_kl,Gasoline_liters,Row,Era,YearStr,QuarterInfo,QuarterCol
2007,Q1,2007Q1,14330109.0,14330109000.0,16,平成,19年,1～ 3月,Q1 2007
2007,Q2,2007Q2,14637953.0,14637953000.0,17,,,4～ 6,Q2
2007,Q3,2007Q3,15912539.0,15912539000.0,18,,,7～ 9,Q3
2007,Q4,2007Q4,14946838.0,14946838000.0,19,,,10～12,Q4
2008,Q1,2008Q1,13578781.0,13578781000.0,20,平成,20年,1～ 3月,Q1 2008
2008,Q2,2008Q2,14783719.0,14783719000.0,57,,,4～ 6,Q2
2008,Q3,2008Q3,14320246.0,14320246000.0,58,,,7～ 9,Q3
2008,Q4,2008Q4,14645686.0,14645686000.0,59,,,10～12,Q4
2009,Q1,2009Q1,13723176.0,13723176000.0,60,平成,21年,1～ 3月,Q1 2009
2010,Q1,2010Q1,13764302.0,13764302000.0,135,平成,22年,1～ 3月,Q1 2010
2010,Q2,2010Q2,13989837.0,13989837000.0,136,,,4～ 6,Q2
2010,Q3,2010Q3,15851440.0,15851440000.0,137,,,7～ 9,Q3
2010,Q4,2010Q4,14762307.0,14762307000.0,138,,,10～12,Q4
2011,Q1,2011Q1,13593462.0,13593462000.0,139,平成,23年,1～ 3月,Q1 2011
2011,Q2,2011Q2,13448528.0,13448528000.0,177,,,4～ 6,Q2
2011,Q3,2011Q3,15241188.0,15241188000.0,178,,,7～ 9,Q3
2011,Q4,2011Q4,14619344.0,14619344000.0,179,,,10～12,Q4
2012,Q1,2012Q1,13904742.0,13904742000.0,180,平成,24年,1～ 3月,Q1 2012
2012,Q2,2012Q2,13480072.0,13480072000.0,218,,,4～ 6,Q2
2012,Q3,2012Q3,15181511.0,15181511000.0,219,,,7～ 9,Q3
2012,Q4,2012Q4,14532867.0,14532867000.0,220,,,10～12,Q4
2013,Q1,2013Q1,13252958.0,13252958000.0,221,平成,25年,1～ 3月,Q1 2013
2013,Q2,2013Q2,13355338.0,13355338000.0,263,,,4～ 6,Q2
2013,Q3,2013Q3,14849870.0,14849870000.0,264,,,7～ 9,Q3
2013,Q4,2013Q4,14017059.0,14017059000.0,265,,,10～12,Q4
2014,Q1,2014Q1,13196561.0,13196561000.0,266,平成,26年,1～ 3月,Q1 2014
