,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month ,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl,  from Ashalt onward is Ton)",,,
,,,,,,,,,,,,,,,,,,,,,,"Year,           Quarter                             & Month 
",,
,年　月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,　液化石油ガス,,,液化天然ガス,,,　
,,,,,,　,　,燃料油,,,　,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,　,　
,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil              B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,　,　
1,平成,17年,,,"238,279,985","61,615,686","49,540,512","4,904,989","29,538,869","37,449,416","55,230,513","28,647,773","26,582,740","2,045,538","3,443,232","67,535","61,126","16,300,976","10,801,415","5,499,561","50,963,337",C.Y. 2005,1,
2,,18,,,"228,938,568","60,840,334","49,647,042","5,431,666","26,322,908","36,778,726","49,917,892","25,278,643","24,639,249","2,061,152","3,319,958","69,466","60,934","16,759,040","11,226,496","5,532,544","61,822,704",C.Y. 2006,2,
3,,19,,,"219,231,819","59,827,439","49,309,650","5,829,121","23,006,328","35,937,542","45,321,739","21,676,033","23,645,706","1,944,865","3,384,361","78,382","60,334","16,307,572","10,593,967","5,713,605","71,452,956",C.Y. 2007,3,
4,,20,,,"207,739,397","57,315,952","45,329,589","5,760,721","20,972,251","34,246,289","44,114,595","19,093,641","25,020,954","1,888,509","2,835,708","72,048","57,948","16,245,086","11,086,148","5,158,938","72,335,275",C.Y. 2008,4,
5,,21,,,"193,529,520","57,580,683","44,485,185","5,336,699","20,104,238","32,246,936","33,775,779","16,207,323","17,568,456","1,586,824","2,801,561","54,529","47,772","15,078,785","10,017,926","5,060,859","68,094,798",C.Y. 2009,5,
,,,,,,,,,,,,,,,,,,,,,,,,
6,平成,20年度,,,"201,060,085","57,497,370","42,861,039","5,675,532","20,249,063","33,728,030","41,049,051","17,890,549","23,158,502","1,749,976","2,734,519","64,338","51,117","15,831,117","10,797,199","5,033,918","71,399,795",F.Y. 2008,6,　
7,,21,,,"194,933,478","57,568,807","47,309,765","5,319,442","20,045,276","32,257,472","32,432,716","16,042,538","16,390,178","1,680,913","2,870,105","58,279","50,477","15,136,525","10,031,204","5,105,321","70,071,644",F.Y. 2009,7,
,,,,,,,,,,,,,,,,,,,,,,,,
8,平成,21年,  1～ 3月,,"51,990,901","13,747,719","9,825,787","1,395,974","8,682,486","8,055,491","10,283,444","5,018,216","5,265,228","350,695","786,216","11,500","9,551","3,996,033","3,010,227","985,806","18,100,482",Q1  2009,8,
9,,,  4～ 6,,"44,593,204","14,028,095","10,793,537","1,111,093","2,979,667","7,703,602","7,977,210","3,703,858","4,273,352","402,158","598,515","12,695","11,521","3,549,944","2,214,406","1,335,538","15,505,025",Q2  ,9,
10,,,  7～ 9,,"45,281,662","15,071,749","11,507,717","1,474,528","1,984,806","7,920,809","7,322,053","3,240,043","4,082,010","399,935","665,800","14,563","12,961","3,603,362","2,113,282","1,490,080","17,084,542",Q3  ,10,　
11, ,,10～12,,"51,663,753","14,733,120","12,358,144","1,355,104","6,457,279","8,567,034","8,193,072","4,245,206","3,947,866","434,036","751,030","15,771","13,739","3,929,446","2,680,011","1,249,435","17,404,749",Q4  ,11,　
12,平成,22年,  1～ 3月,,"53,394,859","13,735,843","12,650,367","1,378,717","8,623,524","8,066,027","8,940,381","4,853,431","4,086,950","444,784","854,760","15,250","12,256","4,053,773","3,023,505","1,030,268","20,077,328",Q1  2010,12,
,,,,,,,,,,,,,,,,,,,,,,,,
13,平成,21年,  1月,,"18,233,074","4,618,951","3,287,003","520,146","3,467,340","2,598,860","3,740,774","1,772,651","1,968,123","112,455","236,118","4,033","2,915","1,440,303","1,102,077","338,226","6,294,400",Jan. 2009,13,　
14,,,  2,,"16,073,138","4,223,042","3,146,578","461,724","2,639,917","2,476,221","3,125,656","1,577,250","1,548,406","113,284","250,015","3,543","3,886","1,257,645","973,786","283,859","5,632,753",Feb.,14,
15,,,  3,,"17,684,689","4,905,726","3,392,206","414,104","2,575,229","2,980,410","3,417,014","1,668,315","1,748,699","124,956","300,083","3,924","2,750","1,298,085","934,364","363,721","6,173,329",Mar.,15,　
16,,,  4,,"15,356,972","4,619,071","3,817,631","364,968","1,350,367","2,582,579","2,622,356","1,311,817","1,310,539","143,461","191,320","4,105","4,076","1,243,288","816,754","426,534","5,705,308",Apr.,16,
17,,,  5,,"14,280,643","4,717,074","3,497,107","296,632","818,105","2,502,164","2,449,561","1,106,989","1,342,572","118,867","179,921","3,878","3,691","1,144,706","698,173","446,533","4,393,633",May,17,　
18,,,  6,,"14,955,589","4,691,950","3,478,799","449,493","811,195","2,618,859","2,905,293","1,285,052","1,620,241","139,830","227,274","4,712","3,754","1,161,950","699,479","462,471","5,406,084",Jun.,18,
19,,,  7,,"14,815,471","4,920,798","3,535,158","466,848","561,587","2,610,051","2,721,029","1,032,090","1,688,939","131,587","194,173","4,710","4,006","1,272,650","794,485","478,165","5,561,660",Jul.,19,　
20,,,  8,,"15,826,514","5,470,921","3,938,271","533,859","690,310","2,736,585","2,456,568","1,133,090","1,323,478","124,259","209,822","4,542","4,699","1,075,991","619,143","456,848","5,610,241",Aug.,20,
21,,,  9,,"14,639,677","4,680,030","4,034,288","473,821","732,909","2,574,173","2,144,456","1,074,863","1,069,593","144,089","261,805","5,311","4,256","1,254,721","699,654","555,067","5,912,641",Sep.,21,　
22,,, 10,,"16,191,700","4,891,943","3,957,343","478,626","1,341,246","2,938,697","2,583,845","1,293,699","1,290,146","142,597","237,440","5,354","4,464","1,191,084","736,529","454,555","5,230,405",Oct.,22,
23,,, 11,,"16,357,808","4,621,372","4,132,567","468,462","1,840,927","2,716,934","2,577,546","1,302,804","1,274,742","142,009","242,579","5,074","5,377","1,130,866","783,594","347,272","5,584,901",Nov.,23,
24,,, 12,,"19,114,245","5,219,805","4,268,234","408,016","3,275,106","2,911,403","3,031,681","1,648,703","1,382,978","149,430","271,011","5,343","3,898","1,607,496","1,159,888","447,608","6,589,443",Dec.,24,　
,,,,,,,,,,,,,,,,,,,,,,,,
25,平成,22年,  1月,,"18,362,907","4,456,592","4,683,500","402,216","3,210,577","2,530,837","3,079,185","1,613,151","1,466,034","134,285","218,134","4,658","4,517","1,406,122","1,037,757","368,365","6,502,494",Jan. 2010,25,　
26,,,  2,,"17,288,815","4,315,183","4,074,452","378,520","3,023,580","2,629,794","2,867,286","1,580,262","1,287,024","138,551","267,784","5,059","3,424","1,266,634","961,095","305,539","6,379,763",Feb.,26,
27,,,  3,,"17,743,137","4,964,068","3,892,415","597,981","2,389,367","2,905,396","2,993,910","1,660,018","1,333,892","171,948","368,842","5,533","4,315","1,381,017","1,024,653","356,364","7,195,071",Mar.,27,　
,,,,,,,,,,,,,,,,,,,,,,,,
,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene. ,,,,,,,,,,
,　　  Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,,
