,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month ,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl,  from Asphalt onward is Ton)",,,
,,,,,,,,,,,,,,,,,,,,,,"Year,           Quarter                             & Month 
",,
,年　月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,　液化石油ガス,,,液化天然ガス,,,　
,,,,,,　,　,燃料油,,,　,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,　,　
,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil              B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,　,　
1,平成,22年,,,"197,248,777","58,379,483","47,394,311","5,432,229","20,248,351","33,063,802","32,730,601","15,628,720","17,101,881","1,756,400","2,752,421","64,927","57,039","14,643,872","10,271,967","4,371,905","75,213,531",C.Y. 2010,1,
2,,23,,,"193,106,895","56,864,148","44,646,102","4,306,034","19,375,566","32,657,646","35,257,399","14,626,622","20,630,777","1,710,348","2,497,796","67,235","53,669","15,008,084","10,550,764","4,457,320","76,766,759",C.Y. 2011,2,
3,,24,,,"200,533,533","57,094,189","42,822,355","3,965,013","19,939,464","33,401,662","43,310,850","14,299,344","29,011,506","1,594,020","2,473,343","61,822","45,355","16,111,080","11,277,119","4,833,961","84,735,635",C.Y. 2012,3,
4,,25,,,"193,195,970","55,234,424","45,335,920","4,874,458","18,010,194","33,753,278","35,987,696","13,428,254","22,559,442","1,539,421","2,158,899","59,997","43,981","r 15,242,514","r 10,605,990","4,636,524","r 84,693,428",C.Y. 2013,4,
5,,26,,,"185,449,593","53,608,142","43,651,175","5,215,021","17,214,059","33,788,560","31,972,636","12,740,895","19,231,741","1,505,201","2,087,263","63,102","43,787","14,685,090","10,501,260","4,183,830","84,086,524",C.Y. 2014,5,
,,,,,,,,,,,,,,,,,,,,,,,,
6,平成,25年度,,,"193,595,641","55,476,674","45,738,762","5,052,512","17,910,628","34,088,943","35,328,122","13,438,203","21,889,919","1,530,915","2,150,598","61,636","45,984","14,937,073","10,472,047","4,465,026","84,013,869",F.Y. 2013,6,　
7,,26,,,"182,950,825","52,975,079","43,922,745","5,339,856","16,662,369","33,582,980","30,467,796","12,360,246","18,107,550","1,521,058","2,084,335","62,269","42,758","14,575,001","10,500,030","4,074,971","84,495,305",F.Y. 2014,7,
,,,,,,,,,,,,,,,,,,,,,,,,
8,平成,26年,  1～ 3月,,"53,305,158","13,254,407","11,800,063","1,143,053","7,837,797","8,571,844","10,697,994","4,174,990","6,523,004","370,796","605,082","15,861","12,657","4,194,838","3,223,645","971,193","22,464,546",Q1  2014,8,
9,,,  4～ 6,,"40,835,668","12,737,588","9,604,298","1,400,952","2,013,655","8,108,408","6,970,767","2,801,097","4,169,670","380,702","442,657","15,700","10,800","3,537,148","2,420,724","1,116,424","19,749,484",Q2  ,9,
10,,,  7～ 9,,"41,999,969","13,916,093","10,081,389","1,450,292","1,627,993","8,333,320","6,590,882","2,499,638","4,091,244","385,347","488,673","16,083","10,236","3,228,318","2,089,463","1,138,855","21,007,355",Q3  ,10,　
11, ,,10～12,,"49,308,798","13,700,054","12,165,425","1,220,724","5,734,614","8,774,988","7,712,993","3,265,170","4,447,823","368,356","550,851","15,458","10,094","3,724,786","2,767,428","957,358","20,865,139",Q4  ,11,　
12,平成,27年,  1～ 3月,,"50,806,390","12,621,344","12,071,633","1,267,888","7,286,107","8,366,264","9,193,154","3,794,341","5,398,813","386,653","602,154","15,028","11,628","4,084,749","3,222,415","862,334","22,873,327",Q1  2015,12,
,,,,,,,,,,,,,,,,,,,,,,,,
13,平成,26年,  1月,,"18,255,502","4,335,552","4,338,315","374,883","2,852,578","2,690,897","3,663,277","1,349,705","2,313,572","119,303","171,211","5,017","4,816","1,414,842","1,087,799","327,043","7,652,088",Jan. 2014,13,　
14,,,  2,,"17,296,534","3,996,544","3,909,695","256,229","2,797,641","2,722,758","3,613,667","1,438,159","2,175,508","104,824","181,390","5,073","3,445","1,408,528","1,075,198","333,330","7,266,241",Feb.,14,
15,,,  3,,"17,753,122","4,922,311","3,552,053","511,941","2,187,578","3,158,189","3,421,050","1,387,126","2,033,924","146,669","252,481","5,771","4,396","1,371,468","1,060,648","310,820","7,546,217",Mar.,15,　
16,,,  4,,"14,079,119","4,034,333","3,585,979","474,190","841,932","2,617,571","2,525,114","976,841","1,548,273","129,857","147,069","5,384","3,587","1,175,459","847,529","327,930","6,910,485",Apr.,16,
17,,,  5,,"13,640,327","4,362,907","3,241,390","392,582","642,215","2,741,492","2,259,741","936,167","1,323,574","119,310","152,919","5,069","3,382","1,232,832","839,157","393,675","6,314,485",May,17,　
18,,,  6,,"13,116,222","4,340,348","2,776,929","534,180","529,508","2,749,345","2,185,912","888,089","1,297,823","131,535","142,669","5,247","3,831","1,128,857","734,038","394,819","6,524,514",Jun.,18,
19,,,  7,,"14,018,502","4,523,784","3,360,723","531,530","455,556","2,820,273","2,326,636","832,945","1,493,691","138,042","164,495","5,823","3,783","1,157,123","752,816","404,307","7,450,714",Jul.,19,　
20,,,  8,,"14,316,503","4,984,659","3,575,412","457,418","446,450","2,702,521","2,150,043","793,048","1,356,995","118,092","151,228","4,757","2,974","1,039,545","662,293","377,252","6,525,910",Aug.,20,
21,,,  9,,"13,664,964","4,407,650","3,145,254","461,344","725,987","2,810,526","2,114,203","873,645","1,240,558","129,213","172,950","5,503","3,479","1,031,650","674,354","357,296","7,030,731",Sep.,21,　
22,,, 10,,"14,909,353","4,381,333","3,957,331","404,968","986,125","2,905,202","2,274,394","907,429","1,366,965","137,428","185,984","5,466","3,527","1,086,066","772,866","313,200","6,609,117",Oct.,22,
23,,, 11,,"15,569,788","4,336,863","3,990,027","402,983","1,660,414","2,785,162","2,394,339","1,015,720","1,378,619","115,339","179,879","4,883","3,646","1,163,852","845,935","317,917","6,749,417",Nov.,23,
24,,, 12,,"18,829,657","4,981,858","4,218,067","412,773","3,088,075","3,084,624","3,044,260","1,342,021","1,702,239","115,589","184,988","5,109","2,921","1,474,868","1,148,627","326,241","7,506,605",Dec.,24,　
,,,,,,,,,,,,,,,,,,,,,,,,
25,平成,27年,  1月,,"17,137,245","4,131,462","4,104,853","359,831","2,757,208","2,684,134","3,099,757","1,263,445","1,836,312","116,785","170,455","4,807","3,890","1,319,396","1,054,978","264,418","8,043,979",Jan. 2015,25,　
26,,,  2,,"17,022,575","4,049,862","3,972,511","375,341","2,718,490","2,781,956","3,124,415","1,335,643","1,788,772","122,919","196,668","4,878","3,444","1,404,896","1,112,433","292,463","7,096,131",Feb.,26,
27,,,  3,,"16,646,570","4,440,020","3,994,269","532,716","1,810,409","2,900,174","2,968,982","1,195,253","1,773,729","146,949","235,031","5,343","4,294","1,360,457","1,055,004","305,453","7,733,217",Mar.,27,　
,,,,,,,,,,,,,,,,,,,,,,,,
,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene. ,,,,,,,,,,
,　　  Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,,
