,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month ,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以降：ｔ/Unit:kl,  from Asphalt onward is ton)",,,
,,,,,,,,,,,,,,,,,,,,,,"Year,           Quarter                             & Month 
",,
,年・期・月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,　液化石油ガス,,,液化天然ガス,,,　
,,,,,,　,　,燃料油,,,　,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,,　
,,,,,Total of Main Petroleum Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil              B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,,　
,平成,27年,,,"182,014,050","53,112,961","46,560,289","5,488,280","15,878,391","33,665,441","27,308,688","11,832,352","15,476,336","1,477,918","2,018,554","60,985","43,415","13,002,909","9,790,049","3,212,860","80,551,539",C.Y. 2015,,
,,28,,,"178,298,683","52,848,598","44,614,100","5,326,982","16,343,209","33,371,681","25,794,113","12,169,972","13,624,141","1,420,884","1,910,993","59,783","40,594","12,457,850","9,653,367","2,804,483","79,149,839",C.Y. 2016,,
,,29,,,"175,599,497","51,903,928","45,947,615","5,243,298","16,666,384","33,664,038","22,174,234","11,516,821","10,657,413","1,407,901","1,871,905","55,482","38,445","12,595,523","9,820,786","2,774,737","79,921,726",C.Y. 2017,,
,,30,,,"169,778,881","50,999,119","43,329,516","4,848,157","15,357,622","33,851,517","21,392,950","11,364,175","10,028,775","1,562,538","1,982,356","54,123","43,858","11,961,198","9,723,578","2,237,620","78,479,838",C.Y. 2018,,
,令和, 1,,,"165,316,129","49,651,370","43,768,988","5,198,787","14,354,693","33,977,052","18,365,239","10,620,746","7,744,493","1,578,055","1,872,588","48,606","43,514","10,850,618","9,275,370","1,575,248","72,762,396",C.Y. 2019,,
,,,,,,,,,,,,,,,,,,,,,,,,
,平成,30年度,,,"167,746,213","50,624,906","43,909,783","4,972,387","14,533,663","33,803,204","19,902,270","11,066,564","8,835,706","1,589,505","2,053,565","53,577","42,608","11,805,348","9,671,286","2,134,062","76,468,951",F.Y. 2018,,　
,令和, 1,,,"161,631,218","49,107,276","42,549,631","5,146,212","13,621,401","33,657,000","17,549,698","10,155,858","7,393,840","1,547,761","1,810,582","48,761","45,181","10,376,103","9,054,639","1,321,464","71,566,032",F.Y. 2019,,
,,,,,,,,,,,,,,,,,,,,,,,,
,平成,31年, 1～ 3月,,"44,946,915","11,822,426","11,662,908","1,211,364","6,418,727","8,357,015","5,474,475","3,322,444","2,152,031","403,733","560,164","11,824","9,843","3,464,677","2,988,061","476,616","21,157,671",Q1  2019,,
,,, 4～ 6,,"37,881,102","11,996,875","10,239,511","1,306,771","2,032,369","8,265,037","4,040,539","2,391,767","1,648,772","388,142","373,684","12,254","11,120","2,557,459","2,143,570","413,889","15,377,352",Q2  ,,
,令和, 1年, 7～ 9,,"39,545,104","13,483,276","10,551,241","1,364,610","1,507,344","8,608,563","4,030,070","2,163,858","1,866,212","388,893","437,597","12,331","11,955","2,109,458","1,731,852","377,606","18,121,979",Q3  ,,　
,,,10～12,,"42,943,008","12,348,793","11,315,328","1,316,042","4,396,253","8,746,437","4,820,155","2,742,677","2,077,478","397,287","501,143","12,197","10,596","2,719,024","2,411,887","307,137","18,105,394",Q4  ,,　
,令和, 2年, 1～ 3月,,"41,262,004","11,278,332","10,443,551","1,158,789","5,685,435","8,036,963","4,658,934","2,857,556","1,801,378","373,439","498,158","11,979","11,510","2,990,162","2,767,330","222,832","19,961,307",Q1  2020,,
,,,,,,,,,,,,,,,,,,,,,,,,
,平成,31年, 1月,,"15,455,449","3,920,964","4,016,603","317,837","2,634,801","2,657,628","1,907,616","1,203,363","704,253","129,997","184,123","3,792","3,015","1,213,993","1,038,313","175,680","7,578,534",Jan. 2019,,　
,,, 2,,"14,783,267","3,790,393","3,776,159","386,397","2,244,877","2,708,355","1,877,086","1,103,762","773,324","131,278","169,436","3,888","3,313","1,172,967","1,016,664","156,303","6,957,096",Feb.,,
