,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,（３）石油製品月別国内向販売 / Domestic Sales of Petroleum Products by Month ,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以降：ｔ/Unit: kl, from Asphalt onward is ton)",,,
,,,,,,,,,,,,,,,,,,,,,"Year,           Quarter                             & Month 
",,
,年・期・月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,　液化石油ガス,,,,,　
,,,,,,　,　,燃料油,,,　,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,　
,,,,,Total of Main Petroleum Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,"Total
 Fuel Oil ",Fuel Oil A,Fuel Oil              B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,,,　
,令和,2年,,,"151,715,317","46,051,586","40,055,286","3,244,887","14,074,518","32,036,730","16,252,310","10,028,445","6,223,865","1,419,764","1,917,093","45,723","39,833","10,302,518","9,164,956","1,137,562",C.Y. 2020,,
,,3,,,"154,214,620","44,767,547","42,790,793","3,174,862","13,508,544","32,139,599","17,833,275","10,000,213","7,833,062","1,469,039","1,797,846","50,335","44,366","11,366,012","9,629,866","1,736,146",C.Y. 2021,,
,,4,,,"151,804,975","44,781,215","37,984,725","3,805,717","13,038,904","32,039,292","20,155,122","10,527,568","9,627,554","1,780,609","1,718,544","48,722","44,148","12,730,683","10,349,368","2,381,315",C.Y. 2022,,
,,5,,,"r   146,824,578","44,645,283","36,784,913","r   4,295,709","11,906,008","31,390,845","17,801,820","10,063,753","7,738,067","1,861,998","1,500,885","r   46,939","36,028","r   11,964,231","9,841,398","r   2,122,833",C.Y. 2023,,
,,6,,,"139,789,149","43,826,119","34,825,417","4,314,571","11,187,756","30,831,161","14,804,125","9,704,765","5,099,360","1,743,125","1,386,105","46,749","30,600","11,657,838","9,731,209","1,926,629",C.Y. 2024,,
,,,,,,,,,,,,,,,,,,,,,,,
,令和,5年度,,,"144,605,305","44,504,902","36,159,823","4,382,718","11,835,701","31,227,192","16,494,969","9,841,630","6,653,339","1,835,335","1,439,747","46,980","36,980","11,736,316","9,712,154","2,024,162",F.Y. 2023,,　
,,6,,,"138,057,037","43,638,733","34,050,339","4,237,450","11,092,148","30,740,729","14,297,638","9,709,339","4,588,299","1,695,447","1,356,476","46,993","27,712","11,502,234","9,661,346","1,840,888",F.Y. 2024,,
,,,,,,,,,,,,,,,,,,,,,,,
,令和,6年,  1～ 3月,,"37,906,508","10,388,099","9,203,028","1,098,753","5,264,078","7,456,567","4,495,983","2,857,221","1,638,762","436,930","376,904","11,306","8,050","3,514,997","3,089,666","425,331",Q1  2024,,
,,,  4～ 6,,"32,404,729","10,484,272","8,671,393","1,113,942","1,308,898","7,565,217","3,261,007","2,210,530","1,050,477","448,633","285,014","11,493","6,767","2,811,262","2,266,076","545,186",Q2  ,,
,,,  7～ 9,,"32,972,171","11,951,555","7,941,584","1,064,090","1,027,688","7,859,333","3,127,921","2,014,421","1,113,500","426,095","319,829","11,782","6,569","2,320,658","1,768,230","552,428",Q3  ,,　
,,,10～12,,"36,505,741","11,002,193","9,009,412","1,037,786","3,587,092","7,950,044","3,919,214","2,622,593","1,296,621","431,467","404,358","12,168","9,214","3,010,921","2,607,237","403,684",Q4  ,,　
,令和,7年,  1～ 3,,"36,174,396","10,200,713","8,427,950","1,021,632","5,168,470","7,366,135","3,989,496","2,861,795","1,127,701","389,252","347,275","11,550","5,162","3,359,393","3,019,803","339,590",Q1  2025,,
,,,,,,,,,,,,,,,,,,,,,,,
,令和,6年,  1月,,"12,770,298","3,407,969","3,181,660","386,550","1,931,379","2,340,791","1,521,949","920,577","601,372","135,699","113,579","3,401","3,349","1,192,541","1,046,780","145,761",Jan. 2024,,　
,,,  2,,"12,507,085","3,322,535","3,156,161","350,278","1,727,583","2,476,530","1,473,998","952,295","521,703","148,630","127,010","3,847","1,850","1,163,271","1,015,078","148,193",Feb.,,
,,,  3,,"12,629,125","3,657,595","2,865,207","361,925","1,605,116","2,639,246","1,500,036","984,349","515,687","152,601","136,315","4,058","2,851","1,159,185","1,027,808","131,377",Mar.,,　
,,,  4,,"11,103,820","3,469,698","2,998,709","361,059","632,195","2,499,632","1,142,527","801,384","341,143","160,881","97,044","3,944","2,456","1,051,092","855,547","195,545",Apr.,,
,,,  5,,"10,752,815","3,503,148","2,955,255","368,649","355,937","2,470,367","1,099,459","708,485","390,974","138,803","87,172","3,733","2,138","961,919","771,489","190,430",May ,,　
,,,  6,,"10,548,094","3,511,426","2,717,429","384,234","320,766","2,595,218","1,019,021","700,661","318,360","148,949","100,798","3,816","2,173","798,251","639,040","159,211",Jun.,,
,,,  7,,"10,729,354","3,941,380","2,438,150","349,439","304,015","2,685,937","1,010,433","664,786","345,647","163,709","118,799","4,465","2,559","868,416","664,260","204,156",Jul.,,　
,,,  8,,"11,391,530","4,286,468","2,809,676","357,484","348,546","2,537,364","1,051,992","637,710","414,282","121,888","78,215","3,548","1,072","722,158","546,918","175,240",Aug.,,
,,,  9,,"10,851,287","3,723,707","2,693,758","357,167","375,127","2,636,032","1,065,496","711,925","353,571","140,498","122,815","3,769","2,938","730,084","557,052","173,032",Sep.,,　
,,, 10,,"11,281,960","3,628,398","2,966,760","351,764","566,835","2,648,989","1,119,214","742,350","376,864","147,812","148,223","4,344","2,748","867,561","728,800","138,761",Oct.,,
,,, 11,,"12,092,457","3,557,863","3,027,283","340,602","1,213,976","2,650,462","1,302,271","870,753","431,518","143,164","132,908","3,895","2,662","988,611","854,162","134,449",Nov.,,
,,, 12,,"13,131,324","3,815,932","3,015,369","345,420","1,806,281","2,650,593","1,497,729","1,009,490","488,239","140,491","123,227","3,929","3,804","1,154,749","1,024,275","130,474",Dec.,,　
,,,,,,,,,,,,,,,,,,,,,,,
,令和,7年,  1,,"12,425,608","3,351,719","2,997,378","361,667","1,967,359","2,334,998","1,412,487","967,679","444,808","138,562","117,675","3,845","1,570","1,207,958","1,076,652","131,306",Jan. 2025,,　
,,,  2,,"11,662,432","3,261,295","2,464,549","318,110","1,867,690","2,424,252","1,326,536","947,641","378,895","123,053","115,131","3,696","1,658","1,090,779","990,296","100,483",Feb.,,
,,,  3,,"12,086,356","3,587,699","2,966,023","341,855","1,333,421","2,606,885","1,250,473","946,475","303,998","127,637","114,469","4,009","1,934","1,060,656","952,855","107,801",Mar.,,　
,,,,,,,,,,,,,,,,,,,,,,,
,注 1 : Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note 1 : P・P is Propane・Propylene; P・B is Propane・Butane; B・B is Butane・Butylene. ,,,,,,,,,
,　　　   Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,Note 2 : The aggregation method for Lubricating Oil has been revised from April 2022.,,,,,,,,,
,注 2 : 令和４年４月分から潤滑油の集計方法の改訂を行いました。,,,,,,,,,,,,,,,,,,,,,,
