Year,Quarter,YearQuarter,CPI
1970,1,1970Q1,30.400000000000002
1970,2,1970Q2,30.833333333333332
1970,3,1970Q3,30.900000000000002
1970,4,1970Q4,31.766666666666666
1971,1,1971Q1,32.233333333333334
1971,2,1971Q2,32.800000000000004
1971,3,1971Q3,33.166666666666664
1971,4,1971Q4,33.6
1972,1,1972Q1,33.733333333333334
1972,2,1972Q2,34.46666666666667
1972,3,1972Q3,34.766666666666666
1972,4,1972Q4,35.233333333333334
1973,1,1973Q1,36.199999999999996
1973,2,1973Q2,38.03333333333333
1973,3,1973Q3,39.166666666666664
1973,4,1973Q4,40.833333333333336
1974,1,1974Q1,44.63333333333333
1974,2,1974Q2,46.63333333333333
1974,3,1974Q3,48.36666666666667
1974,4,1974Q4,50.4
1975,1,1975Q1,51.4
1975,2,1975Q2,52.800000000000004
1975,3,1975Q3,53.36666666666667
1975,4,1975Q4,54.76666666666667
1976,1,1976Q1,56.03333333333333
1976,2,1976Q2,57.76666666666667
1976,3,1976Q3,58.53333333333333
1976,4,1976Q4,59.93333333333334
1977,1,1977Q1,61.26666666666667
1977,2,1977Q2,62.93333333333334
1977,3,1977Q3,63.199999999999996
1977,4,1977Q4,63.800000000000004
1978,1,1978Q1,64.13333333333333
1978,2,1978Q2,65.46666666666667
1978,3,1978Q3,65.96666666666665
1978,4,1978Q4,66.16666666666667
1979,1,1979Q1,66.06666666666666
1979,2,1979Q2,67.63333333333334
1979,3,1979Q3,68.33333333333333
1979,4,1979Q4,69.46666666666667
1980,1,1980Q1,70.83333333333333
1980,2,1980Q2,73.10000000000001
1980,3,1980Q3,73.86666666666666
1980,4,1980Q4,74.8
1981,1,1981Q1,75.5
1981,2,1981Q2,76.7
1981,3,1981Q3,76.96666666666665
1981,4,1981Q4,77.86666666666667
1982,1,1982Q1,77.86666666666667
1982,2,1982Q2,78.7
1982,3,1982Q3,79.10000000000001
1982,4,1982Q4,79.8
1983,1,1983Q1,79.53333333333333
1983,2,1983Q2,80.46666666666667
1983,3,1983Q3,80.26666666666667
1983,4,1983Q4,81.13333333333333
1984,1,1984Q1,81.46666666666665
1984,2,1984Q2,82.10000000000001
1984,3,1984Q3,82.06666666666666
1984,4,1984Q4,83.0
1985,1,1985Q1,83.10000000000001
1985,2,1985Q2,83.86666666666667
1985,3,1985Q3,84.0
1985,4,1985Q4,84.36666666666666
1986,1,1986Q1,84.39999999999999
1986,2,1986Q2,84.60000000000001
1986,3,1986Q3,84.2
1986,4,1986Q4,84.16666666666667
1987,1,1987Q1,83.7
1987,2,1987Q2,84.73333333333333
1987,3,1987Q3,84.56666666666666
1987,4,1987Q4,84.8
1988,1,1988Q1,84.33333333333333
1988,2,1988Q2,84.89999999999999
1988,3,1988Q3,85.06666666666666
1988,4,1988Q4,85.7
1989,1,1989Q1,85.23333333333333
1989,2,1989Q2,87.23333333333335
1989,3,1989Q3,87.39999999999999
1989,4,1989Q4,87.93333333333334
1990,1,1990Q1,88.26666666666667
1990,2,1990Q2,89.46666666666665
1990,3,1990Q3,89.63333333333333
1990,4,1990Q4,91.10000000000001
1991,1,1991Q1,91.56666666666666
1991,2,1991Q2,92.5
1991,3,1991Q3,92.5
1991,4,1991Q4,93.63333333333333
1992,1,1992Q1,93.3
1992,2,1992Q2,94.59999999999998
1992,3,1992Q3,94.16666666666667
1992,4,1992Q4,94.53333333333335
1993,1,1993Q1,94.53333333333335
1993,2,1993Q2,95.40000000000002
1993,3,1993Q3,95.83333333333333
1993,4,1993Q4,95.56666666666668
