実質原系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,
1994/ 1- 3.,"109,110.50","60,871.50","60,338.10","51,586.20","7,202.80","17,679.80","-2,160.30","17,899.40","12,403.60",-120,"-1,923.50","9,315.80","11,239.40","-2,742.60",,"4,746.40","113,856.90","1,141.70","4,062.70","2,921.00","114,998.60",,"113,023.70","83,458.30","29,655.30",,"36,497.90",,"111,128.40"
4- 6.,"107,765.60","60,916.70","59,848.90","51,056.10","7,530.60","15,384.30",755,"18,159.50","9,851.60",39.3,"-2,153.80","9,298.00","11,451.80","-2,717.70",,"4,564.30","112,329.90","1,102.30","3,528.60","2,426.40","113,432.20",,"111,770.90","84,138.80","27,625.90",,"32,018.90",,"106,913.90"
7- 9.,"112,077.80","63,382.50","62,287.60","53,411.90","8,709.00","16,712.20",-462,"17,979.20","10,801.30",143.4,"-2,339.50","9,671.40","12,011.00","-2,848.20",,"4,629.90","116,707.70",866,"3,724.40","2,858.40","117,573.70",,"116,312.60","87,856.20","28,432.70",,"35,328.60",,"112,292.30"
10-12.,"117,568.40","64,241.50","62,963.10","54,032.60","8,290.90","16,557.70","1,779.40","18,298.50","13,566.70",391.5,"-2,202.70","10,027.90","12,230.70","-3,354.90",,"4,748.70","122,317.20",815.1,"3,443.30","2,628.20","123,132.30",,"121,880.20","90,372.20","31,584.00",,"37,251.80",,"115,475.80"
1995/ 1- 3.,"110,525.10","62,254.90","61,681.20","52,728.30","7,520.80","18,333.30","-2,733.40","18,674.50","11,501.40",13.4,"-2,639.90","9,688.10","12,328.00","-2,399.90",,"4,646.80","115,171.90","1,097.20","4,363.20","3,266.00","116,269.10",,"114,876.10","85,252.30","29,691.80",,"36,681.60",,"112,980.00"
4- 6.,"110,855.40","62,355.40","61,221.00","52,232.20","7,354.70","16,525.30","1,793.30","18,758.20","9,321.10",-64.9,"-2,898.00","9,776.80","12,674.80","-2,289.60",,"4,817.60","115,673.10",948,"3,609.20","2,661.20","116,621.10",,"115,371.60","87,676.30","27,641.20",,"32,635.40",,"109,095.90"
