Year,Quarter,Q (liters)
2009,Q1,13747719
2009,Q2,14028095
2009,Q3,15071749
2009,Q4,14733120
2011,Q1,13555088
2011,Q2,13448528
2011,Q3,15241188
2011,Q4,14619344
2012,Q1,13899739
2012,Q2,13480072
2012,Q3,15181511
2012,Q4,14532867
2013,Q1,13012157
2013,Q2,13355338
2013,Q3,14849870
2013,Q4,14017059
2014,Q1,13254407
2014,Q2,12737588
2014,Q3,13916093
2014,Q4,13700054
2015,Q1,12071633
2015,Q2,10851640
2015,Q3,11657561
2015,Q4,11979455
2016,Q1,12641113
2016,Q2,12702270
2016,Q3,14096307
2016,Q4,13408917
2017,Q1,12300733
2017,Q2,12577404
2017,Q3,13867883
2017,Q4,13157908
2018,Q1,12196639
2018,Q2,12438772
2018,Q3,13663073
2018,Q4,12700635
2019,Q1,11822426
2019,Q2,11996875
2019,Q3,13483276
2019,Q4,12348793
2020,Q1,10443551
2020,Q2,9154249
2020,Q3,9909818
2020,Q4,10547668
2021,Q1,10814435
2021,Q2,10978363
2021,Q3,11942311
2021,Q4,11032438
2022,Q1,10555811
2022,Q2,10770439
2022,Q3,11942966
2022,Q4,11511999
2023,Q1,10528480
2023,Q2,10887863
2023,Q3,12044735
2023,Q4,11184205
2024,Q1,10388099
2024,Q2,10484272
2024,Q3,11951555
2024,Q4,11002193
