2007,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,1,平成,15年,,,"243,569,341","60,077,901","49,091,849","4,526,938","29,751,916","38,295,301","61,825,436","29,968,115","31,857,321","2,086,201","4,041,117","58,745","60,212","17,259,106","11,380,072","5,879,034","53,565,975",C.Y. 2003,1
,2,,16,,,"236,269,121","61,220,197","48,413,668","4,838,050","27,410,848","38,078,816","56,307,542","29,189,483","27,118,059","2,070,171","3,769,841","67,078","64,470","16,323,674","10,753,304","5,570,370","50,225,262",C.Y. 2004,2
,3,,17,,,"238,279,985","61,615,686","49,540,512","4,904,989","29,538,869","37,449,416","55,230,513","28,647,773","26,582,740","2,045,538","3,443,232","67,535","61,126","16,300,976","10,801,415","5,499,561","50,963,337",C.Y. 2005,3
,4,,18,,,"228,938,568","60,840,334","49,647,042","5,431,666","26,322,908","36,778,726","49,917,892","25,278,643","24,639,249","2,061,152","3,319,958","69,466","60,934","16,759,040","11,226,496","5,532,544","61,822,704",C.Y. 2006,4
,5,,19,,,"219,231,819","59,827,439","49,309,650","5,829,121","23,006,328","35,937,542","45,321,739","21,676,033","23,645,706","1,944,865","3,384,361","78,382","60,334","16,307,572","10,593,967","5,713,605","71,452,956",C.Y. 2007,5
,,,,,,,,,,,,,,,,,,,,,,,,
,6,平成,18年度,,,"223,785,463","60,551,523","50,077,841","5,389,080","24,503,861","36,605,601","46,657,557","23,961,177","22,696,380","2,054,310","3,373,311","71,600","59,425","16,865,738","11,205,940","5,659,798","65,693,432",F.Y. 2006,6
,7,,19,,,"218,478,562","59,076,111","48,548,060","5,915,854","22,672,281","35,556,561","46,709,695","21,369,055","25,340,640","1,938,621","3,253,432","78,463","63,989","16,322,207","10,820,853","5,501,354","72,856,148",F.Y. 2007,7
,,,,,,,,,,,,,,,,,,,,,,,,
,8,平成,19年,1～ 3月,,"59,415,350","14,330,109","13,071,041","1,394,402","9,746,078","8,925,729","11,947,991","6,528,334","5,419,657","495,672","1,018,334","18,357","12,727","4,395,367","3,072,290","1,323,077","17,632,751",Q1 2007,8
,9,,,4～ 6,,"50,238,468","14,637,953","11,511,634","1,421,875","3,607,402","8,830,515","10,229,089","4,913,326","5,315,763","453,077","688,041","19,687","15,187","4,015,922","2,545,087","1,470,835","17,432,938",Q2,9
,10,,,7～ 9,,"51,579,999","15,912,539","12,007,127","1,413,324","2,484,568","8,874,156","10,888,285","4,623,367","6,264,918","478,564","745,147","19,569","16,425","3,711,765","2,118,245","1,593,520","17,618,075",Q3,10
,11,,,10～12,,"57,998,002","14,946,838","12,719,848","1,599,520","7,168,280","9,307,142","12,256,374","5,611,006","6,645,368","517,552","932,839","20,769","15,995","4,184,518","2,858,345","1,326,173","18,769,192",Q4,11
,12,平成,20年,1～ 3月,,"58,662,093","13,578,781","12,309,451","1,481,135","9,412,031","8,544,748","13,335,947","6,221,356","7,114,591","489,428","887,405","18,438","16,382","4,410,002","3,299,176","1,110,826","19,035,943",Q1 2008,12
,,,,,,,,,,,,,,,,,,,,,,,,
,13,平成,19年,1月,,"19,613,907","4,535,244","4,610,738","423,739","3,369,472","2,605,872","4,068,842","2,058,907","2,009,935","148,925","287,264","5,740","4,885","1,474,068","1,062,600","411,468","6,397,402",Jan. 2007,13
,14,,,2,,"19,269,234","4,627,176","4,076,082","407,771","3,332,659","3,007,350","3,818,196","2,218,563","1,599,633","161,688","307,828","6,052","4,441","1,477,448","1,034,120","443,328","5,728,621",Feb.,14
,15,,,3,,"20,532,209","5,167,689","4,384,221","562,892","3,043,947","3,312,507","4,060,953","2,250,864","1,810,089","185,059","423,242","6,565","3,401","1,443,851","975,570","468,281","5,506,728",Mar.,15
,16,,,4,,"17,680,619","4,917,756","3,922,746","440,465","1,799,218","2,973,695","3,626,739","1,844,225","1,782,514","163,135","224,759","6,787","5,019","1,466,006","932,255","533,751","5,143,872",Apr.,16
,17,,,5,,"16,268,236","4,891,327","3,928,897","479,997","945,772","2,842,200","3,180,043","1,485,607","1,694,436","139,812","217,632","6,122","5,199","1,337,896","874,536","463,360","6,528,047",May,17
,18,,,6,,"16,289,613","4,828,870","3,659,991","501,413","862,412","3,014,620","3,422,307","1,583,494","1,838,813","150,130","245,650","6,778","4,969","1,212,020","738,296","473,724","5,761,019",Jun.,18
,19,,,7,,"16,751,761","5,230,430","3,914,753","421,092","841,826","2,970,185","3,373,475","1,597,459","1,776,016","154,624","215,586","6,575","6,184","1,335,269","757,204","578,065","6,070,821",Jul.,19
,20,,,8,,"17,204,044","5,452,465","4,161,220","497,258","571,728","2,845,273","3,676,100","1,401,385","2,274,715","156,381","244,956","6,440","4,772","1,257,218","741,498","515,720","6,135,252",Aug.,20
,21,,,9,,"17,624,194","5,229,644","3,931,154","494,974","1,071,014","3,058,698","3,838,710","1,624,523","2,214,187","167,559","284,605","6,554","5,469","1,119,278","619,543","499,735","5,412,002",Sep.,21
,22,,,10,,"18,287,523","5,033,754","4,051,875","511,032","1,566,920","3,144,071","3,979,871","1,762,470","2,217,401","175,662","294,992","7,253","5,259","1,263,507","789,408","474,099","6,566,473",Oct.,22
,23,,,11,,"18,884,787","4,836,423","4,208,826","515,553","2,375,823","3,117,447","3,830,715","1,814,023","2,016,692","173,554","306,200","6,859","5,416","1,314,622","902,626","411,996","6,034,217",Nov.,23
,24,,,12,,"20,825,692","5,076,661","4,459,147","572,935","3,225,537","3,045,624","4,445,788","2,034,513","2,411,275","168,336","331,647","6,657","5,320","1,606,389","1,166,311","440,078","6,168,502",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,20年,1月,,"20,150,145","4,581,020","4,411,087","420,365","3,432,192","2,646,879","4,658,602","2,022,996","2,635,606","151,779","210,520","5,456","5,048","1,413,503","1,083,804","329,699","6,128,802",Jan. 2008,25
,26,,,2,,"20,118,599","4,542,062","4,003,484","479,001","3,739,978","2,927,716","4,426,358","2,210,209","2,216,149","154,451","288,643","6,202","5,965","1,564,916","1,165,550","399,366","6,048,739",Feb.,26
